"dataSource","Class"
"PUPIN-RES-PV","http://www.w3.org/2006/time#Interval"
"PUPIN-RES-PV","http://www.w3.org/2006/time#TemporalEntity"
"PUPIN-RES-PV","http://www.w3.org/2006/time#Instant"
"PUPIN-RES-PROD","http://www.w3.org/2006/time#Instant"
"PUPIN-RES-PROD","http://www.w3.org/2006/time#TemporalEntity"
"PUPIN-RES-PROD","https://w3id.org/seas/FeatureOfInterest"
"PUPIN-RES-PROD","https://w3id.org/platoon/WindFarm"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerSystem"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerProducer"
"PUPIN-RES-PROD","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindTurbine"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#WindGeneratingUnit"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#WindPlantIEC"
"PUPIN-RES-PROD","https://w3id.org/platoon/OffshoreWindTurbine"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#GeneratingUnit"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#Plant"
"PUPIN-RES-PV","https://w3id.org/seas/FeatureOfInterest"
"PUPIN-RES-PV","https://w3id.org/seas/Zone"
"PUPIN-RES-PV","https://w3id.org/seas/SolarArray"
"PUPIN-RES-PV","https://w3id.org/platoon/AirTemperatureProperty"
"PUPIN-RES-PROD","https://w3id.org/platoon/AirTemperatureProperty"
"PUPIN-RES-PV","https://w3id.org/platoon/AirTemperatureEvaluation"
"PUPIN-RES-PROD","https://w3id.org/platoon/AirTemperatureEvaluation"
"PUPIN-RES-PV","https://w3id.org/seas/WindDirectionProperty"
"PUPIN-RES-PROD","https://w3id.org/seas/WindDirectionProperty"
"PUPIN-RES-PV","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindDirection"
"PUPIN-RES-PROD","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindDirection"
"PUPIN-RES-PV","https://w3id.org/seas/WindDirectionEvaluation"
"PUPIN-RES-PROD","https://w3id.org/seas/WindDirectionEvaluation"
"PUPIN-RES-PV","https://w3id.org/platoon/SolarInverter"
"PUPIN-RES-PV","https://w3id.org/platoon/WeatherStation"
"PUPIN-WeatherBit","https://w3id.org/platoon/WeatherStation"
"PUPIN-RES-PROD","https://w3id.org/platoon/WeatherStation"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfElectricProductionProperty"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfActivePower"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerProperty"
"PUPIN-RES-PROD","https://saref.etsi.org/core/Power"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#ActivePower"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfActivePowerEvaluation"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfElectricPowerEvaluation"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerEvaluation"
"PUPIN-RES-PROD","https://w3id.org/platoon/ActivePowerEvaluation"
"PUPIN-RES-PROD","http://www.w3.org/2006/time#Interval"
"PUPIN-ENTSO-E","http://www.iec.ch/TC57/CIM#Asset"
"PUPIN-ENTSO-E","http://www.iec.ch/TC57/CIM#ControlArea"
"PUPIN-ENTSO-E","https://schema.org/Country"
"PUPIN-ENTSO-E","https://www.geonames.org/ontology#Feature"
"PUPIN-ENTSO-E","https://schema.org/Organization"
"PUPIN-ENTSO-E","http://www.iec.ch/TC57/CIM#Organization"
"PUPIN-ENTSO-E","http://www.iec.ch/TC57/CIM#MktParticipant"
"PUPIN-ENTSO-E","http://www.iec.ch/TC57/CIM#ControlAreaOperator"
"PUPIN-ENTSO-E","http://schema.org/Organization"
"PUPIN-RES-PV","https://w3id.org/platoon/SolarInsolationProperty"
"PUPIN-RES-PROD","https://w3id.org/platoon/SolarInsolationProperty"
"PUPIN-RES-PV","https://w3id.org/platoon/SolarInsolationEvaluation"
"PUPIN-ENTSO-E","http://www.w3.org/2006/time#Instant"
"PUPIN-WeatherBit","http://www.w3.org/2006/time#Instant"
"PUPIN-ENTSO-E","http://www.w3.org/2006/time#TemporalEntity"
"PUPIN-WeatherBit","http://www.w3.org/2006/time#TemporalEntity"
"PUPIN-WeatherBit","https://w3id.org/seas/Forecast"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfAirTemperatureProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfAirTemperatureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfHighAirTemperatureProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfHighAirTemperatureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfLowAirTemperatureProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfMaxAirTemperatureProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfMaxAirTemperatureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfMinAirTemperatureProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfMinAirTemperatureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfPressureProperty"
"PUPIN-ENTSO-E","https://w3id.org/seas/ForecastOfPressureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfDewPointProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfDewPointEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfCloudCoverageProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfCloudEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfHighLevelCloudProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfHighLevelCloudEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfLowLevelCloudProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfLowLevelCloudEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfMidLevelCloudProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfMidLevelCloudEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfSeaLevelPressureProperty"
"PUPIN-ENTSO-E","https://w3id.org/platoon/ForecastOfSeaLevelPressureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfMaxDiffuseSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfDiffuseSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfRelativeHumidityProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfWindDirectionProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfWindDirectionEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfWindSpeedProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfWindSpeedEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfWindGustSpeedProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/ForecastOfWindGustSpeedEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfUVIndexProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfAccumulatedSnowFallProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfAccumulatedSnowFallEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfSnowDepthProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfProbabilityOfPrecipitationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfAccumulatedPrecipitationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfAverageOzoneProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfVisibilityProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfSunriseProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfSunsetProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfMoonriseProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfMoonsetProperty"
"PUPIN-RES-PROD","https://w3id.org/seas/PressureProperty"
"PUPIN-RES-PROD","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#Pressure"
"PUPIN-RES-PROD","https://w3id.org/seas/PressureEvaluation"
"PUPIN-RES-PV","https://w3id.org/seas/ElectricPowerSystem"
"PUPIN-RES-PV","https://w3id.org/seas/ElectricPowerProducer"
"PUPIN-RES-PV","https://w3id.org/seas/SolarPanel"
"PUPIN-RES-PV","http://www.iec.ch/TC57/CIM#SolarGeneratingUnit"
"PUPIN-RES-PV","http://www.iec.ch/TC57/CIM#GeneratingUnit"
"PUPIN-RES-PV","http://www.iec.ch/TC57/CIM#Plant"
"PUPIN-RES-PV","https://w3id.org/seas/ElectricPowerProperty"
"PUPIN-RES-PV","https://saref.etsi.org/core/Power"
"PUPIN-RES-PV","http://www.iec.ch/TC57/CIM#ActivePower"
"PUPIN-RES-PV","https://w3id.org/seas/WindSpeedProperty"
"PUPIN-RES-PROD","https://w3id.org/seas/WindSpeedProperty"
"PUPIN-RES-PV","https://w3id.org/seas/WindSpeedEvaluation"
"PUPIN-RES-PROD","https://w3id.org/seas/WindSpeedEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfDirectSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/ForecastOfGlobalSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/TemperatureProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/AirTemperatureProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/AirTemperatureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/TemperatureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/DiffuseSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/SolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/DiffuseSolarRadiationEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/SolarRadiationEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/DirectSolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/DirectSolarRadiationEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/SolarRadiationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/SolarRadiationEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/HumidityProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/RelativeHumidityProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/RelativeHumidityEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/HumidityEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/WindDirectionProperty"
"PUPIN-WeatherBit","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindDirection"
"PUPIN-WeatherBit","https://w3id.org/seas/WindDirectionEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/WindSpeedProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/WindSpeedEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/UVIndexProperty"
"PUPIN-WeatherBit","http://sweetontology.net/propIndex/UVIndex"
"PUPIN-WeatherBit","https://w3id.org/platoon/UVIndexEvaluation"
"PUPIN-WeatherBit","https://w3id.org/seas/PressureProperty"
"PUPIN-WeatherBit","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#Pressure"
"PUPIN-WeatherBit","https://w3id.org/seas/PressureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/DewPointProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/DewPointEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/CloudCoverageProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/CloudCoverageEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/SeaLevelPressureProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/SeaLevelPressureEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/SolarElevationAngleProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/AngleProperty"
"PUPIN-WeatherBit","https://w3id.org/seas/AngleEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/SolarElevationAngleEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/SolarHourAngleProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/SunriseProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/SunsetProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/SunsetEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/AccumulatedSnowFallProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/AccumulatedSnowFallEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/AccumulatedPrecipitationProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/AccumulatedPrecipitationEvaluation"
"PUPIN-WeatherBit","https://w3id.org/platoon/VisibilityProperty"
"PUPIN-WeatherBit","https://w3id.org/platoon/VisibilityEvaluation"
