class,title
https://w3id.org/platoon/GridOntology,"""Platoon grid Ontology""@en"
https://w3id.org/platoon/StorageSystemOntology,"""Platoon storage system ontology""@en"
https://w3id.org/platoon/HVACOntology,"""Platoon HVAC Ontology""@en"
https://w3id.org/platoon/WindTurbineOntology,"""Platoon wind turbine Ontology""@en"
https://w3id.org/platoon/BuildingOntology,"""Platoon Building Ontology""@en"
https://w3id.org/platoon/,"""Platoon Ontology""@en"
https://w3id.org/platoon/AlignementOntology,"""Platoon Alignment ontology""@en"
https://w3id.org/platoon/ElectricPowerTransformerOntology,"""Platoon transformer ontology""@en"
https://w3id.org/platoon/EnergyMarketOntology,"""Platoon energy market ontology""@en"
https://w3id.org/platoon/EnergyMeasureOntology,"""Platoon energy ontology""@en"
https://w3id.org/platoon/ForecastingOntology,"""Platoon Forecasting  Ontology""@en"
https://w3id.org/platoon/GenericPropertyOntology,"""Platoon Generic Property Ontology""@en"
https://w3id.org/platoon/EventOntology,"""Platoon event ontology""@en"
https://w3id.org/platoon/FailureAndDamageOntology,"""Platoon Failure And Damage ontology""@en"
https://w3id.org/platoon/StatusCodeAlarmOntology,"""Platoon Status Code Alarm Ontology""@en"
https://w3id.org/platoon/KPIOntology,"""Platoon KPI Ontology""@en"
https://w3id.org/platoon/MeterOntology,"""Platoon meter ontology""@en"
https://w3id.org/platoon/ScheduleOntology,"""Platoon Schedule OntologyObj""@en"
https://w3id.org/platoon/SensorOntology,"""Platoon sensor ontology""@en"
https://w3id.org/platoon/WeatherOntology,"""Platoon Weather Ontology""@en"